测试套/软件包名,测试用例名,状态,日志文件,原因
initscripts,oe_test_service_network,fail,./mugen-riscv/logs/initscripts/oe_test_service_network/2023-09-01-23:26:56.log,systemd unit restart failure/systemd unit runtime error
cockpit,oe_test_service_cockpit,fail,./mugen-riscv/logs/cockpit/oe_test_service_cockpit/2023-09-02-19_19_35.log,
,oe_test_socket_cockpit,fail,./mugen-riscv/logs/cockpit/oe_test_socket_cockpit/2023-09-02-19_21_33.log,
,oe_test_service_cockpit-wsinstance-http,fail,./mugen-riscv/logs/cockpit/oe_test_service_cockpit-wsinstance-http/2023-09-02-19_23_31.log,
gnome-shell,oe_test_gnome-shell,fail,./mugen-riscv/logs/gnome-shell/oe_test_gnome-shell/2023-09-03-16_08_44.log,
ebtables,oe_test_service_ebtables,fail,./mugen-riscv/logs/ebtables/oe_test_service_ebtables/2023-08-31-13:49:25.log,
kexec-tools,oe_test_service_kdump,fail,./mugen-riscv/logs/kexec-tools/oe_test_service_kdump/2023-09-03-16_44_52.log,
openssl,oe_test_openssl_DSA_algorithm,fail,./mugen-riscv/logs/openssl/oe_test_openssl_DSA_algorithm/2023-09-01-21_19_16.log,
,oe_test_openssl_incorrect_public_private_key,fail,./mugen-riscv/logs/openssl/oe_test_openssl_incorrect_public_private_key/2023-09-01-21_34_21.log,
,oe_test_openssl_generate_key_pair,fail,./mugen-riscv/logs/openssl/oe_test_openssl_generate_key_pair/2023-09-01-21_28_30.log,
,oe_test_openssl_speed,fail,./mugen-riscv/logs/openssl/oe_test_openssl_speed/2023-09-01-22_09_53.log,
,oe_test_openssl_create_CA_applying_certificate,fail,./mugen-riscv/logs/openssl/oe_test_openssl_create_CA_applying_certificate/2023-09-01-21_08_47.log,
,oe_test_openssl_RSA_algorithm,fail,./mugen-riscv/logs/openssl/oe_test_openssl_RSA_algorithm/2023-09-01-22_03_10.log,
,oe_test_openssl_repeat_restart,fail,./mugen-riscv/logs/openssl/oe_test_openssl_repeat_restart/2023-09-01-21_50_02.log,
